attack_type,attack_param,true_angle,true_scale,detected,verified,confidence,shards_recovered,shard_crc_ratio,estimated_angle,estimated_scale,geo_angle_error,geo_scale_error,runtime_total,t_fourier_mellin,t_sync_template,t_identity,t_generate,t_canary,t_promote,stage_budget_fail,geo_diverge
baseline,none,0.0,1.0,True,True,1.0,64,1.0,0.0,1.0,0.0,0.0,5.032376000017393,0.0,0.0,0.0,0.0,0.0,0.0,,False
rotation,-10deg,-10.0,1.0,True,False,0.34003727243589743,18,0.0,0.0,1.0,10.0,0.0,14.640338900033385,0.10756769997533411,0.30713179998565465,1.00000761449337e-06,3.840000135824084e-05,0.9078759000403807,9.220441500016022,,False
rotation,+10deg,10.0,1.0,True,False,0.3436382702991453,13,0.07692307692307693,0.0,1.0,10.0,0.0,14.912686199997552,0.07378560001961887,0.307559399981983,9.00006853044033e-07,2.400000812485814e-05,1.1498348000459373,9.000483700016048,,False
rotation,+20deg,20.0,1.0,True,False,0.3158309957264957,15,0.0625,0.0,1.0,20.0,0.0,15.215315699984785,0.11892269999952987,0.3165600999491289,6.00004568696022e-07,3.840000135824084e-05,1.2107482999563217,9.283699200022966,,True
scale,0.6x,0.0,0.6,True,False,0.3132702467948718,8,0.0,0.0,1.0,0.0,0.4,14.090663500013761,0.07054689998039976,0.2803717000060715,6.00004568696022e-07,2.4999957531690598e-05,1.4200183000066318,7.579032499983441,,False
scale,0.8x,0.0,0.8,True,False,0.3399581485042735,16,0.0,0.0,1.0,0.0,0.19999999999999996,15.741775400005281,0.0842562000034377,0.28192580002360046,4.00003045797348e-07,2.19999928958714e-05,1.8348926000180654,9.42666660004761,,False
scale,1.3x,0.0,1.3,True,False,0.2880870448717949,30,0.0,0.0,1.0,0.0,0.30000000000000004,20.749721300031524,0.09907240001484752,0.2990258000208996,6.00004568696022e-07,2.7099973522126675e-05,2.79486960003851,11.427971400029492,,False
scale,1.5x,0.0,1.5,True,False,0.25021956730769235,49,0.0,0.0,1.0,0.0,0.5,22.274996699998155,0.1309589000302367,0.3079336000373587,6.00004568696022e-07,2.6900030206888914e-05,1.762193499947898,13.971192099968903,,False
crop,19pct,0.0,1.0,True,True,1.0,36,1.0,0.0,1.0,0.0,0.0,4.341041999985464,0.0,0.0,0.0,0.0,0.0,0.0,,False
crop,40pct,0.0,1.0,True,False,0.45,25,1.0,0.0,1.0,0.0,0.0,16.73631020000903,0.11022550001507625,0.32208980002906173,6.00004568696022e-07,1.969997538253665e-05,1.777104800043162,9.571498799952678,,False
jpeg,q50,0.0,1.0,True,False,0.38316479807692305,60,0.046875,0.0,1.0,0.0,0.0,12.816199699998833,0.11017800000263378,0.3053712999681011,4.00003045797348e-07,2.3500004317611456e-05,1.3215870999847539,5.625021999992896,,False
jpeg,q85,0.0,1.0,True,True,1.0,64,0.984375,0.0,1.0,0.0,0.0,5.34690879995469,0.0,0.0,0.0,0.0,0.0,0.0,,False
combined,r+10_s1.2,10.0,1.2,True,False,0.95,30,0.030303030303030304,10.0,0.8547008547008548,0.0,0.3452991452991452,50.39775980002014,0.07289449998643249,0.30048879998503253,5.00003807246685e-07,2.069998299703002e-05,0.576993599999696,21.86874240002362,4_promote=10.69s>8.0s,False
combined,r-10_s0.8_c19_j85,-10.0,0.8,True,False,0.31069239636752133,7,0.0,0.0,1.0,10.0,0.19999999999999996,15.267823799978942,0.12513509998098016,0.30657010001596063,1.00000761449337e-06,3.749999450519681e-05,1.8198751999880187,8.595686900021974,,False
clean_fp,seed0,0.0,1.0,True,False,0.1085895,18,0.0,0.0,1.0,0.0,0.0,22.25502670003334,0.06610400002682582,0.26633079996099696,6.00004568696022e-07,2.700003096833825e-05,1.0687940999632701,17.483378200035077,,False
clean_fp,seed1,0.0,1.0,True,False,0.2213205,20,0.041666666666666664,-9.0,0.99,9.0,0.010000000000000009,63.77284560003318,0.0696800000150688,0.34355040005175397,5.00003807246685e-07,2.95999925583601e-05,0.7240653000189923,21.4592461999855,,False
clean_fp,seed2,0.0,1.0,True,False,0.12242148504273503,11,0.0,0.0,1.0,0.0,0.0,15.167048899980728,0.10532509995391592,0.3311371000017971,6.00004568696022e-07,2.7499976567924023e-05,1.0897642000345513,9.659830699965823,,False
clean_fp,seed3,0.0,1.0,True,False,0.1949547672961423,64,0.02702702702702703,10.5,0.59,10.5,0.41000000000000003,80.71068249997916,0.09442649997072294,0.39745899999979883,4.00003045797348e-07,2.459995448589325e-05,0.8283572000218555,28.1021854999708,,True
clean_fp,seed4,0.0,1.0,True,False,0.11929805982905983,20,0.0,0.0,1.0,0.0,0.0,13.259854000003543,0.06620469997869805,0.326696100004483,7.00005330145359e-07,2.3300002794712782e-05,1.5808631000109017,7.085620199970435,,False
